Code,Milestone,Title,Size,Depends On,Description,Acceptance Criteria
M1-01,M1,Django project scaffold,M,—,"Create the Django 5.x project with the four apps (games, puzzles, training, dashboard), env-driven settings (SQLite dev / Postgres prod, STOCKFISH_PATH), .env.example, ruff config, pytest-django wiring. No models yet.","runserver boots; pytest runs (zero tests) green; ruff check and format clean; .env is gitignored and .env.example documents every variable."
M1-02,M1,Constants module + eval conversion,S,M1-01,"The single constants module holding every §10 tunable, plus pure functions for the engine boundary: cp→win% sigmoid, side-to-move→user-perspective flip, mate-score clamp to 100/0. This is the H4 invariant made executable.","All 18 constants present, imported from exactly one module; table-driven tests cover cp→wp at extremes, perspective flips for both colours, and mate-in-N both directions."
M1-03,M1,position_key normalization utility,S,M1-01,"Pure function: FEN → normalized key. Strip halfmove/fullmove counters, keep ep square only when a legal ep capture exists (board.epd en_passant='legal' style), hash for the compact unique index.","Tests prove: same position with differing counters → same key; vestigial ep square after a double push with no legal ep capture → same key as without; genuinely different positions → different keys."
M1-04,M1,games app models: Game + PipelineRun,S,M1-01,"Game (with opponent_username, analysis bookkeeping, engine provenance fields) and PipelineRun per models.py. Migrations + admin registration with sensible list displays.","Migrations apply; admin can create/edit both models; Game unique on chesscom_uuid enforced."
M1-05,M1,puzzles app models: MotifTag / Candidate / Puzzle / Occurrence / PuzzleMotif,M,M1-04,"The core schema per models.py, including the Candidate gate ledger and per-solution-PV solutions JSON shape. Data migration seeds the 13 mechanism tags + OTHER with tiers.","Migrations apply; MotifTag seeded (14 rows); position_key unique constraint and (game, ply) uniqueness on Candidate and Occurrence enforced; admin registered for all five."
M1-06,M1,training + dashboard models: Attempt / Report / WeaknessSnapshot,S,M1-05,"Attempt (whole-line moves JSON with per-move verdicts, grade, hints_used, failed_at_ply), Report, WeaknessSnapshot per models.py. Migrations + admin.","Migrations apply; admin registered; a sample Attempt with a 3-move line round-trips through the JSONField."
M2-01,M2,chess.com archives client,M,M1-04,"Wrapper over the public archives API: list months, fetch a month, honour the immutability rule (cache earlier months, always re-fetch the current month). No DB writes here — returns parsed game dicts.","Fixture-based tests (recorded JSON, no network) for month listing and fetch; caching rule unit-tested; polite User-Agent set."
M2-02,M2,PGN → Game field parser,M,M1-04,"Parse chess.com PGN + game JSON into Game fields: user colour/ratings, opponent_username/rating, result, ECO/opening, time control/class, and %clk extraction from comments. clock_seconds is nullable — absence handled, never fabricated.","Fixture PGNs cover: white and black perspectives, a game with no %clk (daily/old), an unrated game; parser returns clean field dicts for all."
M2-03,M2,ingest command,M,"M2-01, M2-02","Management command: update_or_create by chesscom_uuid, new games PENDING, --since=YYYY-MM flag, writes a PipelineRun row with counts and error text. Thin wrapper over a testable pipeline module.","Running twice over the same months is a no-op (idempotency test asserts identical counts); --since limits the fetch window; PipelineRun row records games fetched/created/updated."
M3-01,M3,Engine wrapper,M,M1-02,"python-chess engine session manager: movetime-driven single-PV evaluation, MultiPV=3 probe, depth-SHALLOW_DEPTH probe. Converts every score to user-perspective win% at this boundary using M1-02 — raw engine scores never escape. Includes a scripted fake-engine test double for unit tests downstream.","@pytest.mark.engine integration test runs against real Stockfish; unit tests via the double verify perspective flips on both colours and mate clamping; engine process reused across a run, cleanly closed."
M3-02,M3,Candidate detection sweep,M,"M3-01, M1-05","Phase-1 pass: wp curve over every ply, flag AVOID candidates (user wp drop ≥ MISTAKE_WP_DROP) and PUNISH candidates per the §4 spec (opponent handed ≥ BLUNDER_WP_DROP; user's reply realized < PUNISH_CAPTURE_FRACTION of it). Phase and clock-bucket classification for each candidate.","Table-driven tests with the fake engine: AVOID and PUNISH detection, the punished-adequately non-candidate case, and the perspective arithmetic for both colours."
M3-03,M3,"Gates 1, 2, 4 + Candidate persistence",M,M3-02,"Gate 1 (salvageable), gate 2 (shallow-depth findability + cashout, needs the shallow probe), gate 4 (trivial/forced/book). Every evaluated candidate persists as a Candidate row with gate evidence, verdict, and rejection_gate — pass or fail.","Table-driven (position facts → verdict) tests per gate; a rejected candidate leaves a full-evidence row; opening-leak promotion query over Candidates fires on the 3rd distinct game."
M3-04,M3,Gate 3: solution set + per-solution PVs,M,M3-03,"MultiPV probe → uniqueness gap, SOLUTION_BAND_WP band, MAX_SOLUTIONS cap, and a principal variation captured per accepted solution (the H3 fix). Solutions JSON matches the models.py shape exactly.","Tests: single clear solution, two band-mates each with their own PV, >2 acceptable moves → discard; uniqueness_gap_wp stored on the candidate."
